Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name,state
APSRTC - 52921,NON AC Seater,18:00,22:50,04h 50m,365.0,34 Seats available,2.2,https://www.redbus.in/bus-tickets/ananthapur-to-bangalore,Anantapur (andhra pradesh) to Bangalore,APSRTC
APSRTC - 52937,NON AC Seater,21:45,02:45,05h 00m,307.0,22 Seats available,4.2,https://www.redbus.in/bus-tickets/ananthapur-to-bangalore,Anantapur (andhra pradesh) to Bangalore,APSRTC
APSRTC - 6985,NON AC Seater,22:30,03:30,05h 00m,365.0,16 Seats available,4.0,https://www.redbus.in/bus-tickets/ananthapur-to-bangalore,Anantapur (andhra pradesh) to Bangalore,APSRTC
0,0,0,0,0,0.0,0,0.0,https://www.redbus.in/bus-tickets/ananthapur-to-bangalore,Anantapur (andhra pradesh) to Bangalore,APSRTC
APSRTC - 51051,NON AC Seater,16:45,21:30,04h 45m,344.0,32 Seats available,3.0,https://www.redbus.in/bus-tickets/hyderabad-to-kurnool,Hyderabad to Kurnool,APSRTC
APSRTC - 9295,NON AC Seater,17:15,21:30,04h 15m,344.0,33 Seats available,2.9,https://www.redbus.in/bus-tickets/hyderabad-to-kurnool,Hyderabad to Kurnool,APSRTC
APSRTC - 5664,NON AC Seater,17:45,22:15,04h 30m,344.0,33 Seats available,4.0,https://www.redbus.in/bus-tickets/hyderabad-to-kurnool,Hyderabad to Kurnool,APSRTC
0,0,0,0,0,0.0,0,0.0,https://www.redbus.in/bus-tickets/hyderabad-to-kurnool,Hyderabad to Kurnool,APSRTC
APSRTC - 5985,NON AC Seater,19:00,03:15,08h 15m,467.0,30 Seats available,2.9,https://www.redbus.in/bus-tickets/hyderabad-to-vinukonda,Hyderabad to Vinukonda,APSRTC
APSRTC - 5968,NON AC Seater,19:45,03:30,07h 45m,467.0,31 Seats available,3.7,https://www.redbus.in/bus-tickets/hyderabad-to-vinukonda,Hyderabad to Vinukonda,APSRTC
APSRTC - 4585,NON AC Seater,20:00,05:00,09h 00m,467.0,31 Seats available,4.1,https://www.redbus.in/bus-tickets/hyderabad-to-vinukonda,Hyderabad to Vinukonda,APSRTC
APSRTC - 5939,NON AC Seater,20:10,03:50,07h 40m,464.0,31 Seats available,4.5,https://www.redbus.in/bus-tickets/hyderabad-to-vinukonda,Hyderabad to Vinukonda,APSRTC
0,0,0,0,0,0.0,0,0.0,https://www.redbus.in/bus-tickets/hyderabad-to-vinukonda,Hyderabad to Vinukonda,APSRTC
APSRTC - 2811,NON AC Seater,15:45,21:00,05h 15m,328.0,35 Seats available,4.4,https://www.redbus.in/bus-tickets/rajahmundry-to-visakhapatnam,Rajahmundry to Visakhapatnam,APSRTC
APSRTC - 4468,NON AC Seater,16:30,21:00,04h 30m,344.0,33 Seats available,4.8,https://www.redbus.in/bus-tickets/rajahmundry-to-visakhapatnam,Rajahmundry to Visakhapatnam,APSRTC
APSRTC - 27136,AC Sleeper,16:30,20:45,04h 15m,467.0,25 Seats available,3.2,https://www.redbus.in/bus-tickets/rajahmundry-to-visakhapatnam,Rajahmundry to Visakhapatnam,APSRTC
0,0,0,0,0,0.0,0,0.0,https://www.redbus.in/bus-tickets/rajahmundry-to-visakhapatnam,Rajahmundry to Visakhapatnam,APSRTC
APSRTC - 2559,NON AC Seater,18:00,03:30,09h 30m,569.0,25 Seats available,3.2,https://www.redbus.in/bus-tickets/hyderabad-to-eluru,Hyderabad to Eluru,APSRTC
APSRTC - 2563,AC Seater,19:30,03:15,07h 45m,649.0,35 Seats available,3.7,https://www.redbus.in/bus-tickets/hyderabad-to-eluru,Hyderabad to Eluru,APSRTC
APSRTC - 2678,AC Sleeper,20:00,04:20,08h 20m,776.0,32 Seats available,4.0,https://www.redbus.in/bus-tickets/hyderabad-to-eluru,Hyderabad to Eluru,APSRTC
APSRTC - 4797,NON AC Seater,20:15,07:40,11h 25m,668.0,33 Seats available,4.1,https://www.redbus.in/bus-tickets/hyderabad-to-eluru,Hyderabad to Eluru,APSRTC
